component,explained_variance_ratio,cumulative_explained_variance
1,0.055760205792497124,0.055760205792497124
2,0.0510365169721622,0.10679672276465932
3,0.043094453224514516,0.14989117598917384
4,0.03630127355748178,0.18619244954665562
5,0.03527329576966283,0.22146574531631846
6,0.034958191296481644,0.2564239366128001
7,0.03449671735189678,0.2909206539646969
8,0.033750815037766654,0.3246714690024636
9,0.033541920425152784,0.3582133894276164
10,0.03322651899291019,0.39143990842052656
11,0.03294138896728654,0.4243812973878131
12,0.03264163317650708,0.4570229305643202
13,0.03240438342570654,0.48942731399002676
14,0.03235234567515777,0.5217796596651845
15,0.03218786276153614,0.5539675224267206
16,0.03210023078406605,0.5860677532107867
17,0.03182559515794329,0.61789334836873
18,0.0317768981835819,0.6496702465523119
19,0.03156205641353539,0.6812323029658472
20,0.031417695069044876,0.7126499980348922
21,0.031208238315828786,0.7438582363507209
22,0.030936198180378138,0.7747944345310991
23,0.030559539617256142,0.8053539741483552
24,0.03037126283829459,0.8357252369866498
25,0.030245830317613583,0.8659710673042634
26,0.02960350608133867,0.8955745733856021
27,0.028817702157852013,0.9243922755434542
28,0.027565532589153233,0.9519578081326074
29,0.023521182286892962,0.9754789904195004
30,0.012586662422642622,0.988065652842143
31,0.011934347157857236,1.0000000000000002
