parent,child,edge_weight
343,405,24.253567808225178
405,336,25.01736003069334
336,252,5.297370939247573
252,359,2.42908057892881
359,87,3.7459261015147574
87,298,2.636345816444841
298,462,2.7619856387330546
462,184,1.8730663590185637
462,387,2.427411164061092
87,278,2.8106997638157756
278,376,2.1715810951838566
278,60,2.2751172629931484
60,438,1.6741023589919957
438,290,1.4434911718976173
438,269,1.4889527974669918
269,96,1.4819806344643058
96,318,1.6186987004446445
269,320,1.7837384326059798
320,192,1.3473252085002958
320,71,1.6854726139543577
71,402,1.3300285854060176
402,164,1.5200057300522911
192,191,2.0402105271603155
191,226,1.5919344644853444
226,222,1.5728168402220486
290,459,2.114623538374508
164,357,2.154528995255246
191,43,2.207165683709053
226,198,2.22265660100878
198,397,1.4506280232958668
198,170,2.072496750349115
397,105,2.1227889830129825
71,437,2.2338509766417403
437,189,1.7247050652933362
437,148,1.8379649937532496
189,112,2.2205969162850114
112,292,1.3880102317075576
437,413,2.2244123733760013
164,275,2.283673092322841
437,444,2.2953114310235505
444,474,1.6013998419621964
189,481,2.3335212631871913
269,285,2.3342465408564954
96,46,2.3849013756159634
71,86,2.3924290135931963
86,73,2.2732966999340003
73,208,1.2035556748755338
73,330,1.9082438882854702
73,289,2.1691446201588995
289,214,2.2144724789748285
330,98,2.3625103771396825
98,257,2.1580814772439996
257,242,1.575526772169592
257,14,1.7352471487389258
14,209,0.7771688988561144
14,2,1.9008113631075556
209,102,2.078654011900576
191,360,2.4029204960417343
360,29,2.125904499571492
320,239,2.4108147092850913
239,429,1.2868896384931765
429,321,1.2953217554650907
321,236,1.973737465331049
102,425,2.422876162584441
214,157,2.4228976536166535
96,32,2.425977898201044
357,118,2.4619616905649884
118,295,1.7778208583965491
118,364,1.8736368699357697
364,271,1.5851159919097852
208,18,2.4631134060597804
289,104,2.4658863139310707
104,250,1.478873790784795
104,109,2.4142445624481312
250,106,2.468891839450302
29,495,2.488109381804068
459,400,2.490987783747275
239,134,2.5079422014077406
134,381,1.7638862377954443
134,232,1.8440319767502171
381,410,2.2195842844648745
98,11,2.531384674650027
232,17,2.5471159618601926
198,6,2.550498839388734
400,346,2.556685383252905
346,342,2.311968470755979
342,399,2.373966512480847
397,276,2.5649944802632607
98,113,2.5655831497936106
105,54,2.5915830614962787
232,466,2.6016248233317136
112,0,2.6278524474320233
0,21,2.1547786776738187
112,234,2.6507319901286044
234,414,2.4624812692890443
413,52,2.652053268029307
360,440,2.732181697539753
11,48,2.7347693588886197
104,253,2.781116842999736
253,332,2.5176070473430667
342,24,2.7903081426990117
24,349,1.7574680889258316
112,487,2.797784113958892
106,464,2.8172276549949533
236,259,2.8210297458480085
259,120,2.81408304667308
275,5,2.822595064242185
5,116,1.138670924610849
259,91,2.8252048437487995
157,124,2.825439852342913
124,303,2.6772260308997193
46,379,2.834436267218958
118,472,2.8380682283906467
295,446,2.8416413344157982
446,294,2.765829883457731
294,353,2.7300347394656477
148,274,2.8418665577631135
462,57,2.8644033310413626
376,279,2.8736853982676105
5,151,2.8740989429917194
71,225,2.876533260490544
275,255,2.8812598027446037
255,176,2.8741208027545
464,494,2.8819379791997806
6,92,2.899832589553575
364,146,2.906509766676166
98,382,2.9096304184742765
376,39,2.910268039927134
425,423,2.969938026093048
60,358,2.9720810571431
358,419,2.7176228115746803
419,283,2.8512627358272025
283,140,2.796640247614619
419,315,2.937420666803313
285,93,2.9752159479109563
118,273,2.9762909715262444
349,338,2.981067463591551
338,340,2.874117152903338
340,477,2.9243692587169314
477,322,1.979843887292015
322,158,1.9492651334137814
158,367,2.1943381952051957
322,277,2.4399880455978393
477,428,2.722660986383622
340,127,2.9660679290308423
376,251,2.984062423357451
39,452,2.996754934139792
242,163,2.9989739457289213
163,139,2.7367095667482517
382,467,3.0052618803133466
338,325,3.0054355888962694
91,483,3.014763642589474
438,135,3.019253393250307
234,468,3.0214390850360324
29,328,3.034927544704841
257,37,3.045270323687378
275,160,3.051401175356468
116,449,3.0573778146731803
449,365,2.496430893039943
449,221,2.772929840527472
208,207,3.0751841256953374
303,66,3.0815483316879133
66,90,2.0872806994974065
66,62,2.992163130877919
66,196,3.084299237383818
196,411,2.935168038722342
446,220,3.0985535864678058
73,31,3.119429673654284
346,417,3.126904821710833
86,75,3.143518261739899
17,460,3.1576313063999804
437,228,3.165092176798263
402,155,3.169776083710565
208,351,3.1729705777384054
367,288,3.188785507256606
288,453,3.038835426516425
62,390,3.1969544338649154
87,268,3.2020130167273897
5,55,3.2434443596798705
446,173,3.2542742174357766
452,34,3.2563751994188848
400,369,3.2703713385195403
189,264,3.271418281005965
264,185,2.4061434939323836
185,491,1.9151952238907677
491,412,2.1443213963391576
412,308,2.487334323486996
308,324,3.047574755743253
324,28,0.5746868923443417
28,404,2.7656442436157715
404,223,2.6578640471092405
223,296,2.931477246891743
308,171,3.136866472338804
171,123,2.9850061746042886
185,326,3.1565550746444195
464,418,3.273625416550927
6,122,3.281143738445519
122,247,0.8670030582274638
11,433,3.283250406631744
308,110,3.296009018597549
110,53,2.7977579436598154
110,297,3.151812374245558
297,260,2.463499552176958
297,248,2.476056553138245
297,262,2.7354677356502055
248,224,3.219470761329199
184,394,3.300584535631165
394,261,2.4514374452012753
295,117,3.309592591002786
351,108,3.31495239746857
264,231,3.318261078752352
93,375,3.3398192471112393
46,240,3.3414424813917405
198,210,3.3434206282840675
48,147,3.351326589984829
487,434,3.3561133616887235
308,169,3.37162566886921
28,40,3.3737972684106885
253,241,3.3911268414837696
434,64,3.39262551630709
290,356,3.4015789486491874
264,435,3.4132607269598716
232,448,3.414061889367515
303,362,3.4183022776172027
91,454,3.4208357756402035
122,388,3.426851763591455
367,175,3.4277815067369777
6,316,3.4435153149914943
146,345,3.4564645329485555
196,391,3.467999563495781
189,153,3.469424075291754
153,13,2.7987016237688107
171,22,3.480360025360826
117,143,3.4816059384107594
105,3,3.48275198190035
259,314,3.489876666205277
314,154,2.5501894216183842
369,299,3.4956162864187172
388,426,3.5013179809965744
2,15,3.5139996179901822
15,187,2.375130093595579
187,144,2.5986937722715853
144,107,2.1456704508984856
144,256,2.242246941978134
187,81,2.7623432001804527
107,384,3.1471096875081024
384,497,3.4948607156267077
449,58,3.5268049598143754
39,188,3.5405763827146717
188,97,2.979441822132241
127,420,3.5426345083116915
420,217,0.1813111788064567
217,363,0.46735372207641857
365,74,3.5493057917459176
342,27,3.5597625798107972
467,422,3.5722424454424675
422,329,3.4533516163987237
148,337,3.574648559845563
11,476,3.5807492481782424
73,94,3.5832405493763337
158,174,3.605657167179174
426,445,3.627473686550113
169,385,3.6302150006764875
173,389,3.632942592228644
261,378,3.636312509357307
378,498,2.414067926224336
214,371,3.637836570550627
371,370,2.484199649216425
371,392,2.9961414626524414
392,350,2.876145728026422
392,233,3.1438476496917334
392,307,3.1888648822924504
371,142,3.198111221639174
142,76,3.339984639319938
370,488,3.3959338512812054
370,128,3.464398024000501
233,36,3.5897615819284243
350,182,3.601681519701211
39,80,3.6475707738482663
294,475,3.650868012707866
475,319,3.583702866213032
319,442,3.2255567261159563
108,9,3.6621548589370936
105,499,3.677201146656574
499,270,3.537739917214252
337,473,3.699722960705149
411,152,3.708682333492577
152,85,2.8583546123851704
152,206,3.1752799865960624
308,482,3.7096859278051926
482,219,2.1345279065983007
198,30,3.717807914658989
329,393,3.7190378078598307
393,286,3.299362027382921
81,282,3.7637244217650125
298,63,3.765454566480692
182,443,3.785214659257521
264,4,3.810991103158665
4,368,2.8001951899287243
368,496,2.00807289768352
368,451,2.2263934439235995
368,471,2.8911181010181917
4,161,2.9068767212296023
4,167,3.175161840060521
167,16,2.7113034206155056
4,374,3.202247715007889
374,165,2.5248079368920373
165,7,2.934160097583437
7,125,2.416828288703549
4,377,3.345852407461548
7,79,3.4612624177603304
451,313,3.6540313669416764
160,72,3.8135103200078526
326,132,3.819658163934201
132,137,3.735655438258354
315,215,3.826968600519469
9,202,3.831249849405476
387,49,3.8319888199080103
397,310,3.8680917217472284
118,115,3.898473021468083
434,42,3.907192515427951
62,266,3.921002713096371
266,77,3.5349469604842514
77,478,3.8302346655275983
378,470,3.929763073345445
470,436,3.2271350057251924
4,479,3.9460974796879236
460,457,3.9725468126537202
79,47,3.988730651137668
414,383,3.9927654057229054
418,194,4.000879377973564
313,138,4.020705158999741
138,82,3.968241135734119
313,195,4.032716232482101
362,327,4.0356018359995085
327,373,2.906464817898464
327,10,3.8140115366874414
377,455,4.042982038721433
498,197,4.047019997428737
487,416,4.047661978325319
207,177,4.0539663582837
177,69,3.9383679321058604
442,26,4.060568854854239
188,168,4.070888569487677
289,111,4.0776835428498055
111,65,2.2229113689378437
111,35,3.7933805287278006
462,119,4.101493519679521
153,205,4.118530287271551
455,304,4.119617394818675
304,415,3.673633538425576
304,1,3.9679206035254424
466,201,4.132968772760825
322,33,4.138186533771324
33,348,2.975480570155217
33,67,3.6715411458003016
33,45,4.076416621616416
164,386,4.1407875285221785
386,70,3.3674269676679547
70,126,3.1470475920083856
70,212,3.289631980411034
212,218,3.1144558075236173
218,89,3.240984642506343
218,88,3.3642759109143583
88,129,3.064763610766336
386,333,3.3772677256302175
70,204,3.384677226998916
212,183,3.426552020311572
183,59,3.544046857578334
89,432,3.5593227822061246
333,490,3.651996722544955
70,293,3.6808675055272957
333,456,3.74861238361305
212,380,3.8374625078920284
212,395,4.037313652848794
293,447,4.115868859822459
85,254,4.1794526635143585
247,99,4.188716586521019
98,243,4.190527437744961
243,263,3.9253195970792842
263,469,2.9267324840335
380,181,4.195233412727365
181,190,2.3357869528208264
181,172,2.436593599252067
181,186,3.7241620810650553
422,8,4.197295082635169
8,235,3.3366181946169453
105,489,4.204164067873647
490,334,4.261400508517255
334,141,3.1839824023739833
143,406,4.31682138357036
469,121,4.321294705065321
72,237,4.362026657804915
177,103,4.370706797482313
103,229,3.552461741254611
388,179,4.384899551650811
252,25,4.40276244865528
63,305,4.431598393255152
35,199,4.441040769848411
199,280,3.901873402125481
117,331,4.464946233817362
331,83,3.5514676097987037
83,180,3.781313837573713
16,19,4.465021257577026
65,309,4.469008297305025
152,486,4.473181276502819
233,341,4.485944621013827
309,366,4.505531995898089
88,492,4.520675562712331
492,347,3.767879076024119
187,44,4.536113690083623
44,200,2.9747544187148276
200,485,3.1263903970010998
44,441,3.8605752360452015
441,159,3.233490101156323
441,281,3.7677636539957176
281,409,3.4110020999392243
409,156,3.885487776848091
159,317,3.9028961366020365
392,312,4.536878880548888
485,408,4.567653899143113
408,145,4.50880260481629
145,450,3.1734574109488953
212,68,4.571759346363274
442,193,4.599674686703457
193,430,3.7747037729796444
430,431,3.9812837123504052
193,339,4.004019450820439
334,302,4.607613226685325
386,265,4.631170356001445
5,227,4.632116020524649
129,344,4.632365469554264
127,178,4.636724149467868
178,354,4.073402623874193
441,458,4.649544891209792
106,355,4.650979553361228
445,38,4.652293274007423
128,162,4.667823045408032
294,323,4.677373875823511
45,361,4.692085640692086
419,424,4.695417750632864
331,216,4.714843145617452
373,244,4.73305021352803
159,203,4.761452815878842
469,149,4.77175477488635
436,84,4.800997935919961
447,101,4.8538191672416815
152,12,4.861778879652032
418,352,4.877778625675149
313,272,4.889644583873419
386,267,4.8982716863164715
4,41,4.927769852037753
149,401,4.96491905095419
282,403,4.9704761347476545
59,20,4.97093161532161
469,150,4.974481323583483
317,484,5.006740209441771
448,95,5.011638019551595
178,306,5.035769659849458
149,465,5.12499051356181
432,291,5.160231086624223
265,407,5.209707009450949
251,300,5.269620664226578
383,78,5.2836037609907684
63,245,5.325610674336916
459,249,5.352534539937809
430,100,5.359957891093227
476,311,5.3813753734721725
119,211,5.427642861993808
87,427,5.431348486032984
65,133,5.449775770996949
212,238,5.4981182667166895
180,301,5.510855061270427
238,439,5.573560115332901
390,166,5.591491940101632
456,23,5.693507151883025
63,114,5.76442650392316
265,372,5.800013373939749
193,463,5.971680153915894
468,213,6.153428851443842
262,61,6.2673470988484965
35,335,6.4372294693868515
201,493,6.505253568937002
