reference_cluster,matched_bootstrap_cluster,jaccard,reference_cluster_size,k,bootstrap_run,seed
0,0,0.922,1383,2,1,1242
1,0,0.078,117,2,1,1242
0,0,1.0,1383,2,2,1243
1,1,1.0,117,2,2,1243
0,1,0.9213333333333333,1383,2,3,1244
1,1,0.0780520346897932,117,2,3,1244
0,0,1.0,1383,2,4,1245
1,1,1.0,117,2,4,1245
0,0,1.0,1383,2,5,1246
1,1,1.0,117,2,5,1246
0,0,1.0,1383,2,6,1247
1,1,1.0,117,2,6,1247
0,1,0.9226150767178118,1383,2,7,1248
1,1,0.07733333333333334,117,2,7,1248
0,1,0.9213333333333333,1383,2,8,1249
1,1,0.0780520346897932,117,2,8,1249
0,1,0.9226150767178118,1383,2,9,1250
1,1,0.07733333333333334,117,2,9,1250
0,0,0.9213333333333333,1383,2,10,1251
1,0,0.0780520346897932,117,2,10,1251
0,0,0.5610632183908046,1383,2,11,1252
1,1,0.1502086230876217,117,2,11,1252
0,1,0.9226150767178118,1383,2,12,1253
1,1,0.07733333333333334,117,2,12,1253
0,0,0.9226150767178118,1383,2,13,1254
1,0,0.07733333333333334,117,2,13,1254
0,0,0.9206666666666666,1383,2,14,1255
1,0,0.07810413885180241,117,2,14,1255
0,0,1.0,1383,2,15,1256
1,1,1.0,117,2,15,1256
0,0,0.9226150767178118,1383,2,16,1257
1,0,0.07733333333333334,117,2,16,1257
0,0,0.9226150767178118,1383,2,17,1258
1,0,0.07733333333333334,117,2,17,1258
0,0,0.9206666666666666,1383,2,18,1259
1,0,0.07810413885180241,117,2,18,1259
0,0,1.0,1383,2,19,1260
1,1,1.0,117,2,19,1260
0,1,1.0,1383,2,20,1261
1,0,1.0,117,2,20,1261
0,1,0.3333333333333333,3,3,1,1342
1,0,0.6102305475504323,1381,3,1,1342
2,2,0.17076923076923076,116,3,1,1342
0,1,0.3333333333333333,3,3,2,1343
1,2,0.5021645021645021,1381,3,2,1343
2,0,0.14107365792759052,116,3,2,1343
0,0,0.6666666666666666,3,3,3,1344
1,1,0.9992764109985528,1381,3,3,1344
2,2,1.0,116,3,3,1344
0,2,0.3333333333333333,3,3,4,1345
1,0,0.9992764109985528,1381,3,4,1345
2,1,0.9914529914529915,116,3,4,1345
0,2,0.3333333333333333,3,3,5,1346
1,0,0.9985538684020245,1381,3,5,1346
2,1,1.0,116,3,5,1346
0,0,0.008403361344537815,3,3,6,1347
1,2,0.549530007230658,1381,3,6,1347
2,0,0.9914529914529915,116,3,6,1347
0,0,0.6666666666666666,3,3,7,1348
1,1,0.4924187725631769,1381,3,7,1348
2,2,0.13725490196078433,116,3,7,1348
0,1,0.004098360655737705,3,3,8,1349
1,1,0.5157819225251076,1381,3,8,1349
2,0,0.13624678663239073,116,3,8,1349
0,2,0.003952569169960474,3,3,9,1350
1,2,0.546242774566474,1381,3,9,1350
2,0,1.0,116,3,9,1350
0,2,0.008403361344537815,3,3,10,1351
1,0,0.5516992046276211,1381,3,10,1351
2,2,0.9914529914529915,116,3,10,1351
0,1,0.3333333333333333,3,3,11,1352
1,0,0.9985538684020245,1381,3,11,1352
2,2,1.0,116,3,11,1352
0,0,0.008403361344537815,3,3,12,1353
1,2,0.5524222704266089,1381,3,12,1353
2,0,0.9914529914529915,116,3,12,1353
0,1,0.3333333333333333,3,3,13,1354
1,2,0.622478386167147,1381,3,13,1354
2,0,0.17535545023696683,116,3,13,1354
0,0,0.003896103896103896,3,3,14,1355
1,0,0.5541907514450867,1381,3,14,1355
2,2,1.0,116,3,14,1355
0,1,0.3333333333333333,3,3,15,1356
1,2,0.5283968368080517,1381,3,15,1356
2,0,0.14173228346456693,116,3,15,1356
0,0,0.3333333333333333,3,3,16,1357
1,1,0.5193687230989957,1381,3,16,1357
2,2,0.13583441138421734,116,3,16,1357
0,2,0.3333333333333333,3,3,17,1358
1,0,0.9985538684020245,1381,3,17,1358
2,1,1.0,116,3,17,1358
0,1,1.0,3,3,18,1359
1,2,1.0,1381,3,18,1359
2,0,1.0,116,3,18,1359
0,1,0.3333333333333333,3,3,19,1360
1,0,0.9985538684020245,1381,3,19,1360
2,2,1.0,116,3,19,1360
0,1,0.3333333333333333,3,3,20,1361
1,0,0.9985538684020245,1381,3,20,1361
2,2,1.0,116,3,20,1361
0,3,0.9914529914529915,117,4,1,1442
1,1,0.824967824967825,654,4,1,1442
2,1,0.14404761904761904,197,4,1,1442
3,2,0.8534621578099839,532,4,1,1442
0,2,0.9829059829059829,117,4,2,1443
1,1,0.8138639281129654,654,4,2,1443
2,1,0.14354066985645933,197,4,2,1443
3,0,0.8467741935483871,532,4,2,1443
0,1,0.9914529914529915,117,4,3,1444
1,3,0.9742813918305597,654,4,3,1444
2,2,1.0,197,4,3,1444
3,0,0.9704797047970479,532,4,3,1444
0,2,1.0,117,4,4,1445
1,1,0.3369330453563715,654,4,4,1445
2,1,0.3016666666666667,197,4,4,1445
3,3,0.49606299212598426,532,4,4,1445
0,0,0.9914529914529915,117,4,5,1446
1,1,0.8107416879795396,654,4,5,1446
2,1,0.14850299401197606,197,4,5,1446
3,3,0.8448,532,4,5,1446
0,2,1.0,117,4,6,1447
1,3,0.3905579399141631,654,4,6,1447
2,3,0.27121212121212124,197,4,6,1447
3,1,0.5210589651022864,532,4,6,1447
0,3,0.9829059829059829,117,4,7,1448
1,0,0.3465665236051502,654,4,7,1448
2,0,0.3103448275862069,197,4,7,1448
3,1,0.5057870370370371,532,4,7,1448
