k,bootstrap_run,seed,pairwise_ari_to_reference,mean_cluster_jaccard,minimum_cluster_jaccard,runtime_seconds,unique_bootstrap_records
2,1,1242,0.0,0.5,0.078,0.08380049999999972,3809
2,2,1243,1.0,1.0,1.0,0.1514209590000002,3813
2,3,1244,-0.001212535694704072,0.49969268401156325,0.0780520346897932,0.15459933300000017,3793
2,4,1245,1.0,1.0,1.0,0.11013162500000018,3749
2,5,1246,1.0,1.0,1.0,0.11453004100000008,3768
2,6,1247,1.0,1.0,1.0,0.14403495800000066,3818
2,7,1248,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.14169045800000024,3790
2,8,1249,-0.001212535694704072,0.49969268401156325,0.0780520346897932,0.13671641599999962,3830
2,9,1250,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.17209870800000004,3775
2,10,1251,-0.001212535694704072,0.49969268401156325,0.0780520346897932,0.1591227919999998,3832
2,11,1252,0.03220229665953773,0.3556359207392132,0.1502086230876217,0.1537746250000005,3770
2,12,1253,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.22386045799999987,3797
2,13,1254,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.17844579100000058,3796
2,14,1255,-0.0024057902936608015,0.49938540275923454,0.07810413885180241,0.15028445899999987,3799
2,15,1256,1.0,1.0,1.0,0.1502119999999998,3786
2,16,1257,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.14799045799999977,3771
2,17,1258,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.1338685420000001,3775
2,18,1259,-0.0024057902936608015,0.49938540275923454,0.07810413885180241,0.13697712500000048,3799
2,19,1260,1.0,1.0,1.0,0.1296139580000002,3834
2,20,1261,1.0,1.0,1.0,0.13405016599999975,3762
3,1,1342,0.06687864832175909,0.3714443705509988,0.17076923076923076,0.1896797079999999,3815
3,2,1343,0.005816891735509342,0.32552383114180866,0.14107365792759052,0.19227475000000016,3748
3,3,1344,0.9950633641195169,0.8886476925550731,0.6666666666666666,0.18577279199999985,3786
3,4,1345,0.9946441767251901,0.7746875785949592,0.3333333333333333,0.19935658400000023,3798
3,5,1346,0.9900993606519987,0.777295733911786,0.3333333333333333,0.2155736250000011,3781
3,6,1347,0.22823893738238699,0.5164621200093958,0.008403361344537815,0.23355591699999856,3792
3,7,1348,0.0029383486170657595,0.4321134470635426,0.13725490196078433,0.18968383300000013,3798
3,8,1349,0.009915411845320223,0.21870902327107866,0.004098360655737705,0.21115937500000115,3791
3,9,1350,0.22624854155901944,0.5167317812454781,0.003952569169960474,0.19183995900000106,3791
3,10,1351,0.22853937817246767,0.5171851858083835,0.008403361344537815,0.258800625000001,3809
3,11,1352,0.9900993606519987,0.777295733911786,0.3333333333333333,0.2403220000000008,3815
3,12,1353,0.22864255697398705,0.5174262077413794,0.008403361344537815,0.18719191699999982,3766
3,13,1354,0.07564502180607754,0.37705572324581565,0.17535545023696683,0.24736933299999997,3760
3,14,1355,0.22732033114492553,0.5193622851137302,0.003896103896103896,0.2263879580000001,3842
3,15,1356,0.017934729070131786,0.33448748453531735,0.14173228346456693,0.21634329200000124,3768
3,16,1357,0.013442211284588697,0.3295121559388488,0.13583441138421734,0.2003539580000009,3818
3,17,1358,0.9900993606519987,0.777295733911786,0.3333333333333333,0.1925247920000004,3814
3,18,1359,1.0,1.0,1.0,0.19675683300000024,3822
3,19,1360,0.9900993606519987,0.777295733911786,0.3333333333333333,0.19303791699999984,3797
3,20,1361,0.9900993606519987,0.777295733911786,0.3333333333333333,0.19135320800000066,3782
4,1,1442,0.7290622473151898,0.7034826483196048,0.14404761904761904,0.21244012500000053,3773
4,2,1443,0.714383799235135,0.6967711936059486,0.14354066985645933,0.20685437499999892,3783
4,3,1444,0.9613142270220018,0.9840535220201497,0.9704797047970479,0.23618329199999977,3782
4,4,1445,0.2334715555586264,0.5336656760372556,0.3016666666666667,0.21633266699999965,3812
4,5,1446,0.7100327801333326,0.6988744183611268,0.14850299401197606,0.24699875000000127,3822
4,6,1447,0.23907600641265028,0.5457072565571427,0.27121212121212124,0.2449873329999992,3804
4,7,1448,0.24173997598695418,0.5364010927835943,0.3103448275862069,0.26827441600000057,3829
4,8,1449,0.15543678097095642,0.4972682687564864,0.1431686046511628,0.2209302090000005,3825
4,9,1450,0.7334210726728784,0.7039806837221494,0.14133016627078385,0.2336262920000003,3786
4,10,1451,0.7092830331646266,0.6989511494923561,0.14354066985645933,0.20210850000000136,3822
4,11,1452,0.23764788433026887,0.5452130996134975,0.35567970204841715,0.2266500839999992,3796
4,12,1453,0.716043222534995,0.6973267242097363,0.13700234192037472,0.20700375000000015,3800
4,13,1454,0.3285409194307983,0.42018448416798937,0.28078817733990147,0.21080599999999983,3790
4,14,1455,0.9749767818063914,0.9899088908772194,0.9813780260707635,0.26000200000000007,3811
4,15,1456,0.7338070489934948,0.7029582636127384,0.1380952380952381,0.2012199999999993,3822
4,16,1457,0.2604444276703946,0.5546916979750249,0.25547445255474455,0.2816824580000006,3827
