sorted_position,k_distance,min_samples
0,1.4019813907692913,20
1,1.4474238198645315,20
2,1.4489605035111939,20
3,1.4491433391128832,20
4,1.4529056127375675,20
5,1.453170986299308,20
6,1.4738231213930069,20
7,1.5036312890957022,20
8,1.5154712162500552,20
9,1.5228466720542986,20
10,1.537984449004193,20
11,1.5514034920815771,20
12,1.5647034325639433,20
13,1.5822112409006888,20
14,1.5823665300430485,20
15,1.5882885280250154,20
16,1.5916117504873961,20
17,1.5991320598273828,20
18,1.607126321179133,20
19,1.6091024071162325,20
20,1.6291277985611021,20
21,1.6296570725327162,20
22,1.6317695375100696,20
23,1.6318276420940696,20
24,1.6318276420940696,20
25,1.6351581133784858,20
26,1.6462752902583189,20
27,1.653710463976844,20
28,1.6576635354445446,20
29,1.6721969608495728,20
30,1.6744718979899689,20
31,1.682622142381536,20
32,1.686792234462084,20
33,1.68847719024474,20
34,1.6891409414940501,20
35,1.6892830932347398,20
36,1.6910217874786642,20
37,1.6972630539614986,20
38,1.701725442470258,20
39,1.7034215637962706,20
40,1.7057970966536973,20
41,1.7073847915212341,20
42,1.7077446175607196,20
43,1.7089592901500357,20
44,1.7108203797598887,20
45,1.7163064588957777,20
46,1.7168940697712451,20
47,1.7186130465129987,20
48,1.726968975007914,20
49,1.730638561188402,20
50,1.7389078537999725,20
51,1.7437126484098517,20
52,1.7464752395239984,20
53,1.7501963018563642,20
54,1.7616022062322707,20
55,1.7621223173188412,20
56,1.7628502046245567,20
57,1.766484445050269,20
58,1.7682148620332072,20
59,1.7698717504010457,20
60,1.7701933294931393,20
61,1.7733672798418816,20
62,1.7740733708343737,20
63,1.7741635424270867,20
64,1.7747281858141866,20
65,1.7768221026625717,20
66,1.7769231924463595,20
67,1.777238729112005,20
68,1.7797030656678674,20
69,1.7822316650320909,20
70,1.7868084450927555,20
71,1.789575998491952,20
72,1.7929868447228101,20
73,1.794065113935612,20
74,1.7964794723885842,20
75,1.802617701824339,20
76,1.8038887120575127,20
77,1.8056330403080074,20
78,1.8059555024791625,20
79,1.8065175994012919,20
80,1.8069366020663447,20
81,1.810886764952073,20
82,1.8134418886608472,20
83,1.8184960671192614,20
84,1.8196999213003842,20
85,1.8196999213003842,20
86,1.8217199711134868,20
87,1.8246979910742758,20
88,1.8262158894365894,20
89,1.8322802654662995,20
90,1.833445645335917,20
91,1.8350197758424127,20
92,1.8389199551863713,20
93,1.8499073837909925,20
94,1.8499112702732825,20
95,1.850436652651082,20
96,1.8506253609664218,20
97,1.8521617186403287,20
98,1.8564776327590984,20
99,1.8569537621250034,20
100,1.8583602751461008,20
101,1.865245761178822,20
