algorithm,distance_metric,requested_k,runtime_seconds,actual_k,minimum_cluster_size,maximum_cluster_size,median_cluster_size,smallest_cluster_fraction,largest_cluster_fraction,silhouette_matching_metric,silhouette_euclidean,silhouette_manhattan,davies_bouldin,calinski_harabasz,ari_external,nmi_external,ami_external,fowlkes_mallows_external,homogeneity_external,completeness_external,v_measure_external,purity_external,rank_silhouette,rank_davies_bouldin,rank_calinski_harabasz,internal_rank_sum,selected_within_metric
Agglomerative-average,euclidean,2,0.09713062500000014,2,1,2499,1250.0,0.0004,0.9996,0.888051300150003,0.888051300150003,0.889608789023519,0.0772997295242234,131.0198649816935,-0.0006660407488544901,8.921005051453154e-05,-0.0005634833113243506,0.9976003252636496,5.551739820660463e-05,0.00022693093067107053,8.921005051453154e-05,0.998,1.0,1.0,2.0,4.0,True
Agglomerative-average,euclidean,3,0.09299204099999958,3,1,2496,3.0,0.0004,0.9984,0.8276845265686655,0.8276845265686655,0.741029144092367,0.2763584892826678,150.4702635318288,0.44268292526730046,0.3228905149941717,0.3219515321805602,0.9979962365211329,0.3046686707151164,0.3434306646499093,0.3228905149941717,0.9984,2.0,6.0,1.0,9.0,False
Agglomerative-average,euclidean,4,0.09298129199999972,4,1,2495,2.0,0.0004,0.998,0.8267093559405927,0.8267093559405927,0.7413491471682575,0.2472580110689867,121.8777309060763,0.3980441281884174,0.28587258672430277,0.2847232774211727,0.9975953561114689,0.30470202121555123,0.26923488720661765,0.2858725867243028,0.9984,3.0,5.0,3.0,11.0,False
Agglomerative-average,euclidean,5,0.09403079199999986,5,1,2494,1.0,0.0004,0.9976,0.8000107628740032,0.8000107628740032,0.7410440647183993,0.23100866171948242,103.84345168701333,0.3615032393833945,0.25647650754177354,0.2551483710957988,0.9971944757025226,0.3047353850936997,0.2214128544397689,0.25647650754177354,0.9984,4.0,3.0,4.0,11.0,False
Agglomerative-average,euclidean,6,0.09351741699999927,6,1,2493,1.0,0.0004,0.9972,0.7964326461808207,0.7964326461808207,0.7412624003907805,0.22167638672305967,93.04271282133689,0.33103997931630014,0.2325680336438065,0.23108673818650036,0.9967935952942949,0.30476876236021666,0.18802442493619306,0.23256803364380646,0.9984,5.0,2.0,5.0,12.0,False
Agglomerative-average,euclidean,7,0.0931970419999999,7,1,2491,1.0,0.0004,0.9964,0.7533427937309111,0.7533427937309111,0.6850629735355804,0.23893731594977052,88.65480134323116,0.2831545239092842,0.1984873579836592,0.1968227500313677,0.9959919958315984,0.3048355571014824,0.14715076515882392,0.19848735798365924,0.9984,6.0,4.0,6.0,16.0,False
Agglomerative-average,euclidean,8,0.0931638330000002,8,1,2489,1.5,0.0004,0.9956,0.629525641695436,0.629525641695436,0.6367631160261429,0.3139408597384722,79.92593526468933,0.24722034016028946,0.17313037619667895,0.17132283961804629,0.9951903966317387,0.3049024055254516,0.12088609718935356,0.17313037619667893,0.9984,7.0,7.0,7.0,21.0,False
Agglomerative-average,manhattan,2,0.08953108300000068,2,1,2499,1250.0,0.0004,0.9996,0.889608789023519,0.888051300150003,0.889608789023519,0.0772997295242234,131.0198649816935,-0.0006660407488544901,8.921005051453154e-05,-0.0005634833113243506,0.9976003252636496,5.551739820660463e-05,0.00022693093067107053,8.921005051453154e-05,0.998,1.0,1.0,1.0,3.0,True
Agglomerative-average,manhattan,3,0.09029074999999942,3,1,2498,1.0,0.0004,0.9992,0.8300237887373009,0.8260797704848297,0.8300237887373009,0.10636974558118545,94.04384611408314,-0.0011422620640596155,0.0001491421342743527,-0.000942231019540951,0.9971994468424435,0.00011105703881770436,0.0002269815360885898,0.0001491421342743527,0.998,2.0,2.0,2.0,6.0,False
Agglomerative-average,manhattan,4,0.09058058300000038,4,1,2497,1.0,0.0004,0.9988,0.7982862102781848,0.7954420216871498,0.7982862102781848,0.12070461987996595,76.82420429556323,-0.0014996143718170095,0.00019218977689605327,-0.0012142927182876137,0.9967985684235473,0.0001666189399850998,0.00022703216990844333,0.00019218977689605324,0.998,3.0,3.0,5.0,11.0,False
Agglomerative-average,manhattan,5,0.09011029100000023,5,1,2496,1.0,0.0004,0.9984,0.7825173304615535,0.7948992309945317,0.7825173304615535,0.12431400310980897,68.91223342053989,-0.0017776058621973515,0.00022461647611302763,-0.0014191783210174972,0.9963976900069632,0.00022220311935447273,0.000227082831617068,0.00022461647611302766,0.998,4.0,4.0,7.0,15.0,False
Agglomerative-average,manhattan,6,0.09191404199999997,6,1,2493,1.0,0.0004,0.9972,0.7412624003907805,0.7964326461808207,0.7412624003907805,0.22167638672305975,93.0427128213369,0.33103997931630014,0.2325680336438065,0.23108673818650036,0.9967935952942949,0.30476876236021666,0.18802442493619306,0.23256803364380646,0.9984,5.0,7.0,3.0,15.0,False
Agglomerative-average,manhattan,7,0.08977691700000001,7,1,2492,1.0,0.0004,0.9968,0.7176711804522578,0.7123724386243655,0.7176711804522578,0.21899759676646693,81.60018729619,0.3052545030256833,0.21274172677945366,0.21112816807941612,0.9963927148867867,0.304802153025883,0.16339191384513982,0.21274172677945366,0.9984,6.0,5.0,4.0,15.0,False
Agglomerative-average,manhattan,8,0.0901111659999998,8,1,2491,1.0,0.0004,0.9964,0.6909831416391983,0.6826599975352335,0.6909831416391983,0.21966346690852964,72.81752487159562,0.28314621025556447,0.19603433105718573,0.19430561240248115,0.9959918344799988,0.3048355571014824,0.14447031055691414,0.19603433105718576,0.9984,7.0,6.0,6.0,19.0,False
