array_index,row_id
0,0
116,116
126,126
219,219
239,239
278,278
280,280
343,343
346,346
373,373
374,374
519,519
599,599
671,671
692,692
702,702
704,704
731,731
863,863
903,903
963,963
990,990
1015,1015
1036,1036
1061,1061
1063,1063
1068,1068
1080,1080
1106,1106
1107,1107
1196,1196
1202,1202
1227,1227
1237,1237
1307,1307
1421,1421
1450,1450
1464,1464
1474,1474
1602,1602
1651,1651
1654,1654
1670,1670
1687,1687
1688,1688
1772,1772
1777,1777
1779,1779
1833,1833
1867,1867
1914,1914
1929,1929
1932,1932
1969,1969
2087,2087
2120,2120
2130,2130
2247,2247
2254,2254
2295,2295
2423,2423
2429,2429
2458,2458
2473,2473
2610,2610
2688,2688
2689,2689
2726,2726
2734,2734
2750,2750
2782,2782
2809,2809
3071,3071
3141,3141
3146,3146
3157,3157
3231,3231
3295,3295
3317,3317
3329,3329
3505,3505
3537,3537
3560,3560
3617,3617
3657,3657
3725,3725
3736,3736
3744,3744
3866,3866
3880,3880
3984,3984
3986,3986
4040,4040
4069,4069
4092,4092
4113,4113
4150,4150
4194,4194
4290,4290
4427,4427
4445,4445
4482,4482
4565,4565
4635,4635
4648,4648
4654,4654
4699,4699
4721,4721
4788,4788
4817,4817
4842,4842
4848,4848
4866,4866
4899,4899
4953,4953
4961,4961
4963,4963
5011,5011
5151,5151
5169,5169
5204,5204
5212,5212
5222,5222
5280,5280
5298,5298
5334,5334
5341,5341
5359,5359
5375,5375
5420,5420
5465,5465
5490,5490
5555,5555
5582,5582
5605,5605
5613,5613
5631,5631
5641,5641
5686,5686
5696,5696
5771,5771
5907,5907
5919,5919
5934,5934
5937,5937
5952,5952
5968,5968
6058,6058
6075,6075
6228,6228
6262,6262
6558,6558
6588,6588
6595,6595
6631,6631
6681,6681
6707,6707
6724,6724
6727,6727
6763,6763
6789,6789
6876,6876
6905,6905
6922,6922
6968,6968
6990,6990
7003,7003
7051,7051
7052,7052
7123,7123
7140,7140
7143,7143
7178,7178
7230,7230
7246,7246
7254,7254
7294,7294
7308,7308
7323,7323
7423,7423
7512,7512
7520,7520
7610,7610
7623,7623
7769,7769
7826,7826
7829,7829
7854,7854
7866,7866
7869,7869
7883,7883
7923,7923
7954,7954
7956,7956
8013,8013
8049,8049
8082,8082
8083,8083
8103,8103
8149,8149
8177,8177
8225,8225
8233,8233
8295,8295
8323,8323
8344,8344
8426,8426
8453,8453
8479,8479
8623,8623
8646,8646
8684,8684
8789,8789
8804,8804
8811,8811
8842,8842
8991,8991
9043,9043
9054,9054
9057,9057
9078,9078
9108,9108
9151,9151
9243,9243
9264,9264
9312,9312
9347,9347
9414,9414
9435,9435
9438,9438
9453,9453
9493,9493
9574,9574
9601,9601
9716,9716
9760,9760
9774,9774
9843,9843
9868,9868
9915,9915
9940,9940
9953,9953
9972,9972
9979,9979
9990,9990
10002,10002
10084,10084
10105,10105
10114,10114
10147,10147
10171,10171
10178,10178
10219,10219
10221,10221
10228,10228
10255,10255
10345,10345
10357,10357
10499,10499
10531,10531
10562,10562
10680,10680
10715,10715
10748,10748
10822,10822
10898,10898
10950,10950
10991,10991
10992,10992
10994,10994
11007,11007
11050,11050
11065,11065
11106,11106
11151,11151
11185,11185
11274,11274
11302,11302
11309,11309
11347,11347
11372,11372
11384,11384
11387,11387
11417,11417
11455,11455
11492,11492
11501,11501
