algorithm,source_experiment,parameters,selected_k,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,runtime_seconds
KMeans,KMeans grid search,k=2,2,2.0,0.0,0.1807099228063333,2.221314555862618,284.36391756604394,0.0036781537324972,0.0005055702711922,-0.0001459688576425,0.9201063227034392,0.0052223315543302,0.0002656435173062,0.0005055702711922,0.998,0.4332326670000004
KMeans,KMeans grid search,k=3,3,3.0,0.0,0.1726875920490591,1.831121163944957,269.53999268609573,0.0121514215849967,0.0225433934510629,0.0218525337837132,0.919952393289024,0.2397676044165977,0.0118277292092472,0.0225433934510629,0.998,0.2848493339999995
KMeans,KMeans grid search,k=4,4,4.0,0.0,0.0662506301922754,3.311503493402448,244.67525275109148,-0.0003542785585909,0.0008636988419891,0.0003941647097132,0.5828873190143624,0.0361701289811586,0.0004370677450075,0.0008636988419891,0.998,0.236943417
KMeans,KMeans grid search,k=5,5,5.0,0.0,0.0635969339227607,2.8848603189593502,251.7358937207586,0.0010840473724384,0.0064246023014954,0.0059619486363596,0.5721729829215734,0.2776633909398432,0.0032498993934474,0.0064246023014954,0.9985,0.2699882499999999
KMeans,KMeans grid search,k=6,6,6.0,0.0,0.0686811582573089,2.5201303204249155,255.914092187897,0.0006670649447711,0.0068078729703624,0.0062783693533356,0.5777755047619287,0.2960942962889931,0.0034435236571089,0.0068078729703624,0.9985,0.2647786669999998
KMeans,KMeans grid search,k=7,7,7.0,0.0,0.0752503433123637,2.4225934114569614,250.2929202970109,0.0004222252416657,0.0061885630703382,0.0055849507216727,0.5466173428998499,0.3017387418578894,0.0031263416584626,0.0061885630703382,0.9985,0.3190533750000002
KMeans,KMeans grid search,k=8,8,8.0,0.0,0.0757797266294637,2.3277331069285676,240.82927301354965,0.0004029521217288,0.0061025465836475,0.0054717187225161,0.5444622968523594,0.3020454857652446,0.0030824119169643,0.0061025465836475,0.9985,0.3308269579999994
Hierarchical,Hierarchical grid search,"k=2,linkage=single",2,,,0.8881794513916383,0.0774514391362384,135.47521856287983,,,,,,,,,0.0377831669999988
Hierarchical,Hierarchical grid search,"k=3,linkage=single",3,,,0.8583336924646291,0.0910980390994239,114.30378991918008,,,,,,,,,0.0377831669999988
Hierarchical,Hierarchical grid search,"k=4,linkage=single",4,,,0.8265643236270275,0.1038285535973413,98.15796880411668,,,,,,,,,0.0377831669999988
Hierarchical,Hierarchical grid search,"k=5,linkage=single",5,,,0.6642169314863022,0.1549482176287729,77.86600493499226,,,,,,,,,0.0377831669999988
Hierarchical,Hierarchical grid search,"k=6,linkage=single",6,,,0.6660545141817992,0.2035165478642852,75.28336880926648,,,,,,,,,0.0377831669999988
Hierarchical,Hierarchical grid search,"k=7,linkage=single",7,,,0.6280456996507109,0.2124895003449481,65.13787240934882,,,,,,,,,0.0377831669999988
Hierarchical,Hierarchical grid search,"k=8,linkage=single",8,,,0.6269547598935696,0.2159141820661327,58.38471906815825,,,,,,,,,0.0377831669999988
Hierarchical,Hierarchical grid search,"k=2,linkage=complete",2,,,0.8881794513916383,0.0774514391362384,135.47521856287983,,,,,,,,,0.0559204579999992
Hierarchical,Hierarchical grid search,"k=3,linkage=complete",3,,,0.8583336924646291,0.0910980390994239,114.30378991918008,,,,,,,,,0.0559204579999992
Hierarchical,Hierarchical grid search,"k=4,linkage=complete",4,,,0.8265643236270275,0.1038285535973413,98.15796880411668,,,,,,,,,0.0559204579999992
Hierarchical,Hierarchical grid search,"k=5,linkage=complete",5,,,0.4282184036219931,1.1533402877894845,81.39673311538228,,,,,,,,,0.0559204579999992
Hierarchical,Hierarchical grid search,"k=6,linkage=complete",6,,,0.4304933756741398,1.0442925605298474,78.25923446813057,,,,,,,,,0.0559204579999992
Hierarchical,Hierarchical grid search,"k=7,linkage=complete",7,,,0.4056942976743472,0.9437877469174472,68.80356490624851,,,,,,,,,0.0559204579999992
Hierarchical,Hierarchical grid search,"k=8,linkage=complete",8,,,0.4047523896846864,0.999858635059868,64.00018703256,,,,,,,,,0.0559204579999992
Hierarchical,Hierarchical grid search,"k=2,linkage=average",2,,,0.8881794513916383,0.0774514391362384,135.47521856287983,,,,,,,,,0.0562190000000004
Hierarchical,Hierarchical grid search,"k=3,linkage=average",3,,,0.8583336924646291,0.0910980390994239,114.30378991918008,,,,,,,,,0.0562190000000004
Hierarchical,Hierarchical grid search,"k=4,linkage=average",4,,,0.8265643236270275,0.1038285535973413,98.15796880411668,,,,,,,,,0.0562190000000004
Hierarchical,Hierarchical grid search,"k=5,linkage=average",5,,,0.7289064949420274,0.3583069651943607,91.17484358714908,,,,,,,,,0.0562190000000004
Hierarchical,Hierarchical grid search,"k=6,linkage=average",6,,,0.7105638740459395,0.348314649241682,77.89302855783085,,,,,,,,,0.0562190000000004
Hierarchical,Hierarchical grid search,"k=7,linkage=average",7,,,0.665985391295878,0.2033402489791776,66.90295829884593,,,,,,,,,0.0562190000000004
