base_id,algorithm,dimension,k,seed,covariance,runtime_seconds,inertia,bic,converged
0,KMeans,5,2,42.0,,0.2202228749999997,14444.895116601101,,True
1,KMeans,5,2,43.0,,0.12837437499999993,15142.806697784496,,True
2,KMeans,5,2,44.0,,0.02881974999999981,14444.895116601101,,True
3,KMeans,5,2,45.0,,0.02976987500000039,14444.895116601101,,True
4,KMeans,5,2,46.0,,0.0273817089999997,14444.895116601101,,True
5,KMeans,5,3,42.0,,0.030497833999999724,11842.793922659399,,True
6,KMeans,5,3,43.0,,0.034285750000000004,11916.894658389965,,True
7,KMeans,5,3,44.0,,0.028925457999999793,11318.731240334017,,True
8,KMeans,5,3,45.0,,0.034842665999999856,11318.731240334018,,True
9,KMeans,5,3,46.0,,0.03505037499999997,11318.731240334017,,True
10,KMeans,5,4,42.0,,0.03892175000000009,8848.001597171851,,True
11,KMeans,5,4,43.0,,0.04365312500000007,8847.802270101694,,True
12,KMeans,5,4,44.0,,0.0392293330000002,8847.812190797973,,True
13,KMeans,5,4,45.0,,0.039521250000000396,8847.810446981675,,True
14,KMeans,5,4,46.0,,0.03644029100000035,8847.826929116643,,True
15,KMeans,5,5,42.0,,0.04612962499999984,7130.641442339434,,True
16,KMeans,5,5,43.0,,0.03940429199999995,7130.669997656093,,True
17,KMeans,5,5,44.0,,0.04068920899999995,7130.671295747632,,True
18,KMeans,5,5,45.0,,0.04987424999999979,7130.644237658435,,True
19,KMeans,5,5,46.0,,0.037154165999999655,7130.644237658435,,True
20,KMeans,5,6,42.0,,0.06469375,6437.70811464777,,True
21,KMeans,5,6,43.0,,0.05655641599999983,6437.713873846325,,True
22,KMeans,5,6,44.0,,0.054394166000000244,6437.693663283585,,True
23,KMeans,5,6,45.0,,0.060647499999999965,6438.242857465833,,True
24,KMeans,5,6,46.0,,0.06275750000000002,6438.613308641137,,True
25,KMeans,5,7,42.0,,0.07601520900000036,5825.126054153361,,True
26,KMeans,5,7,43.0,,0.07363433299999977,5824.148773554881,,True
27,KMeans,5,7,44.0,,0.0789651659999997,5824.353886980069,,True
28,KMeans,5,7,45.0,,0.06935362500000064,5824.577423121058,,True
29,KMeans,5,7,46.0,,0.07849991600000017,5825.109657073295,,True
30,KMeans,5,8,42.0,,0.06610308400000076,5396.597498150717,,True
31,KMeans,5,8,43.0,,0.08005174999999998,5395.732570398757,,True
32,KMeans,5,8,44.0,,0.08558437499999982,5395.614010084691,,True
33,KMeans,5,8,45.0,,0.059709083999999635,5395.704834725682,,True
34,KMeans,5,8,46.0,,0.0824515839999993,5395.705260290683,,True
35,KMeans,10,2,42.0,,0.047638832999999714,28013.086039675967,,True
36,KMeans,10,2,43.0,,0.05168816700000001,26421.086677516734,,True
37,KMeans,10,2,44.0,,0.033791083000000555,26421.086677516734,,True
38,KMeans,10,2,45.0,,0.04885683300000032,27470.149747243486,,True
39,KMeans,10,2,46.0,,0.03599379100000011,27470.149747243486,,True
40,KMeans,10,3,42.0,,0.05773233299999969,23823.42958366991,,True
41,KMeans,10,3,43.0,,0.050494707999999555,23809.567942876063,,True
42,KMeans,10,3,44.0,,0.046086208000000184,23818.78363732325,,True
43,KMeans,10,3,45.0,,0.048274500000000664,23292.49846023325,,True
44,KMeans,10,3,46.0,,0.049599708000000575,23292.49846023325,,True
45,KMeans,10,4,42.0,,0.050399917000000016,20812.659055917586,,True
46,KMeans,10,4,43.0,,0.05242833400000002,20812.624834860915,,True
47,KMeans,10,4,44.0,,0.053306624999999386,20812.549878787424,,True
48,KMeans,10,4,45.0,,0.04899949999999986,20812.549878787424,,True
49,KMeans,10,4,46.0,,0.058993415999999854,20812.549878787424,,True
50,KMeans,10,5,42.0,,0.05826416599999984,19026.542939347506,,True
51,KMeans,10,5,43.0,,0.07054537500000002,19025.94380785618,,True
52,KMeans,10,5,44.0,,0.06032062500000013,19025.94572252223,,True
53,KMeans,10,5,45.0,,0.05675512499999957,19026.03250480439,,True
54,KMeans,10,5,46.0,,0.04706666700000017,19025.94572252223,,True
55,KMeans,10,6,42.0,,0.061529833999999894,17506.114318345182,,True
56,KMeans,10,6,43.0,,0.08076220799999945,17505.587286469567,,True
57,KMeans,10,6,44.0,,0.059819874999999634,17514.299697316368,,True
58,KMeans,10,6,45.0,,0.06203845799999996,17504.10394700857,,True
59,KMeans,10,6,46.0,,0.06789962499999991,17504.03679445563,,True
